key,value,date
Technical/Computing,0,12/19/16
Directional,0,12/19/16
Reference,0,12/19/16
Service,2,12/19/16
Technical/Computing,1,12/20/16
Directional,0,12/20/16
Reference,0,12/20/16
Service,3,12/20/16
Technical/Computing,0,12/21/16
Directional,0,12/21/16
Reference,0,12/21/16
Service,4,12/21/16
Technical/Computing,0,12/22/16
Directional,0,12/22/16
Reference,0,12/22/16
Service,2,12/22/16
Technical/Computing,0,12/23/16
Directional,0,12/23/16
Reference,0,12/23/16
Service,0,12/23/16
Technical/Computing,0,12/24/16
Directional,0,12/24/16
Reference,0,12/24/16
Service,2,12/24/16
Technical/Computing,0,12/25/16
Directional,0,12/25/16
Reference,0,12/25/16
Service,0,12/25/16
Technical/Computing,0,12/26/16
Directional,0,12/26/16
Reference,0,12/26/16
Service,0,12/26/16
Technical/Computing,0,12/27/16
Directional,0,12/27/16
Reference,0,12/27/16
Service,0,12/27/16
Technical/Computing,0,12/28/16
Directional,0,12/28/16
Reference,0,12/28/16
Service,0,12/28/16
Technical/Computing,0,12/29/16
Directional,0,12/29/16
Reference,0,12/29/16
Service,0,12/29/16
Technical/Computing,0,12/30/16
Directional,0,12/30/16
Reference,0,12/30/16
Service,0,12/30/16
Technical/Computing,0,12/31/16
Directional,0,12/31/16
Reference,0,12/31/16
Service,0,12/31/16
Technical/Computing,0,01/01/17
Directional,0,01/01/17
Reference,0,01/01/17
Service,0,01/01/17
Technical/Computing,0,01/02/17
Directional,0,01/02/17
Reference,0,01/02/17
Service,0,01/02/17
Technical/Computing,0,01/03/17
Directional,0,01/03/17
Reference,3,01/03/17
Service,4,01/03/17
Technical/Computing,1,01/04/17
Directional,1,01/04/17
Reference,0,01/04/17
Service,2,01/04/17
Technical/Computing,1,01/05/17
Directional,0,01/05/17
Reference,3,01/05/17
Service,2,01/05/17
Technical/Computing,3,01/06/17
Directional,0,01/06/17
Reference,0,01/06/17
Service,1,01/06/17
Technical/Computing,1,01/07/17
Directional,0,01/07/17
Reference,0,01/07/17
Service,0,01/07/17
Technical/Computing,0,01/08/17
Directional,0,01/08/17
Reference,0,01/08/17
Service,0,01/08/17
Technical/Computing,3,01/09/17
Directional,0,01/09/17
Reference,0,01/09/17
Service,0,01/09/17
Technical/Computing,0,01/10/17
Directional,0,01/10/17
Reference,0,01/10/17
Service,0,01/10/17
Technical/Computing,3,01/11/17
Directional,3,01/11/17
Reference,1,01/11/17
Service,3,01/11/17
Technical/Computing,4,01/12/17
Directional,0,01/12/17
Reference,1,01/12/17
Service,1,01/12/17
Technical/Computing,0,01/13/17
Directional,0,01/13/17
Reference,1,01/13/17
Service,3,01/13/17
Technical/Computing,0,01/14/17
Directional,0,01/14/17
Reference,0,01/14/17
Service,0,01/14/17
Technical/Computing,0,01/15/17
Directional,0,01/15/17
Reference,0,01/15/17
Service,0,01/15/17
Technical/Computing,1,01/16/17
Directional,0,01/16/17
Reference,0,01/16/17
Service,1,01/16/17
Technical/Computing,7,01/17/17
Directional,15,01/17/17
Reference,3,01/17/17
Service,10,01/17/17
Technical/Computing,8,01/18/17
Directional,5,01/18/17
Reference,3,01/18/17
Service,16,01/18/17
Technical/Computing,6,01/19/17
Directional,1,01/19/17
Reference,5,01/19/17
Service,2,01/19/17
Technical/Computing,0,01/20/17
Directional,0,01/20/17
Reference,3,01/20/17
Service,2,01/20/17
Technical/Computing,0,01/21/17
Directional,0,01/21/17
Reference,0,01/21/17
Service,1,01/21/17
Technical/Computing,8,01/22/17
Directional,2,01/22/17
Reference,0,01/22/17
Service,1,01/22/17
Technical/Computing,5,01/23/17
Directional,4,01/23/17
Reference,1,01/23/17
Service,3,01/23/17
Technical/Computing,2,01/24/17
Directional,2,01/24/17
Reference,6,01/24/17
Service,2,01/24/17
